loop_id,display_name,site,area,unit,loop_type,criticality,pv_ot_tag,sp_ot_tag,op_ot_tag,mode_ot_tag,vp_ot_tag,op_min,op_max,enable_monitoring,profile
PIC00551,Pressure controller PIC00551 (FCS0101),hdpe,section_300,u3006_waste_water_pretreatment,PIC,medium,FCS0101.PIC00551.PV,FCS0101.PIC00551.SV,FCS0101.PIC00551.MV,FCS0101.PIC00551.MODE,,0,100,true,
PIC00605,Pressure controller PIC00605 (FCS0101),hdpe,section_600,u6001_pellet_homogenization_i_silo_1_2_3,PIC,medium,FCS0101.PIC00605.PV,FCS0101.PIC00605.SV,FCS0101.PIC00605.MV,FCS0101.PIC00605.MODE,,0,100,true,
PIC00609,Pressure controller PIC00609 (FCS0101),hdpe,section_100,u1006_catalyst_storage,PIC,medium,FCS0101.PIC00609.PV,FCS0101.PIC00609.SV,FCS0101.PIC00609.MV,FCS0101.PIC00609.MODE,,0,100,true,
PIC00610,Pressure controller PIC00610 (FCS0101),hdpe,section_100,u1005_catalyst_dosage,PIC,medium,FCS0101.PIC00610.PV,FCS0101.PIC00610.SV,FCS0101.PIC00610.MV,FCS0101.PIC00610.MODE,,0,100,true,
PIC00620,Pressure controller PIC00620 (FCS0101),hdpe,section_100,u1002_polymerization_ii_reactor_2,PIC,medium,FCS0101.PIC00620.PV,FCS0101.PIC00620.SV,FCS0101.PIC00620.MV,FCS0101.PIC00620.MODE,,0,100,true,
PIC10101,Pressure controller PIC10101 (FCS0101),hdpe,section_600,u6002_pellet_homogenization_ii_silo_4_5,PIC,medium,FCS0101.PIC10101.PV,FCS0101.PIC10101.SV,FCS0101.PIC10101.MV,FCS0101.PIC10101.MODE,,0,100,true,
PIC10104,Pressure controller PIC10104 (FCS0101),hdpe,section_400,u4002_catalyst_tankfarm,PIC,medium,FCS0101.PIC10104.PV,FCS0101.PIC10104.SV,FCS0101.PIC10104.MV,FCS0101.PIC10104.MODE,,0,100,true,
PIC10116,Pressure controller PIC10116 (FCS0101),hdpe,section_200,u2005_refrigeration_unit_hexane_supply,PIC,medium,FCS0101.PIC10116.PV,FCS0101.PIC10116.SV,FCS0101.PIC10116.MV,FCS0101.PIC10116.MODE,,0,100,true,
PIC10201A,Pressure controller PIC10201A (FCS0101),hdpe,section_300,u3001_hexane_purification_i_distillation,PIC,medium,FCS0101.PIC10201A.PV,FCS0101.PIC10201A.SV,FCS0101.PIC10201A.MV,FCS0101.PIC10201A.MODE,,0,100,true,
PIC10201B,Pressure controller PIC10201B (FCS0101),hdpe,section_600,u6002_pellet_homogenization_ii_silo_4_5,PIC,medium,FCS0101.PIC10201B.PV,FCS0101.PIC10201B.SV,FCS0101.PIC10201B.MV,FCS0101.PIC10201B.MODE,,0,100,true,
PIC10201C,Pressure controller PIC10201C (FCS0101),hdpe,section_300,u3001_hexane_purification_i_distillation,PIC,medium,FCS0101.PIC10201C.PV,FCS0101.PIC10201C.SV,FCS0101.PIC10201C.MV,FCS0101.PIC10201C.MODE,,0,100,true,
PIC10320,Pressure controller PIC10320 (FCS0101),hdpe,section_100,u1004_suspension_receiver_off_gas_system,PIC,medium,FCS0101.PIC10320.PV,FCS0101.PIC10320.SV,FCS0101.PIC10320.MV,FCS0101.PIC10320.MODE,,0,100,true,
PIC10323,Pressure controller PIC10323 (FCS0101),hdpe,section_200,u2002_powder_drying_i,PIC,medium,FCS0101.PIC10323.PV,FCS0101.PIC10323.SV,FCS0101.PIC10323.MV,FCS0101.PIC10323.MODE,,0,100,true,
PIC10407_2,Pressure controller PIC10407_2 (FCS0101),hdpe,section_200,u2003_powder_drying_ii_scrubber,PIC,medium,FCS0101.PIC10407_2.PV,FCS0101.PIC10407_2.SV,FCS0101.PIC10407_2.MV,FCS0101.PIC10407_2.MODE,,0,100,true,
PIC10411,Pressure controller PIC10411 (FCS0101),hdpe,section_200,u2003_powder_drying_ii_scrubber,PIC,medium,FCS0101.PIC10411.PV,FCS0101.PIC10411.SV,FCS0101.PIC10411.MV,FCS0101.PIC10411.MODE,,0,100,true,
PIC10412,Pressure controller PIC10412 (FCS0101),hdpe,section_500,u5003_pellet_water_transport_system_drying,PIC,medium,FCS0101.PIC10412.PV,FCS0101.PIC10412.SV,FCS0101.PIC10412.MV,FCS0101.PIC10412.MODE,,0,100,true,
PIC10413,Pressure controller PIC10413 (FCS0101),hdpe,section_100,u1001_polymerization_reactor_1,PIC,medium,FCS0101.PIC10413.PV,FCS0101.PIC10413.SV,FCS0101.PIC10413.MV,FCS0101.PIC10413.MODE,,0,100,true,
PIC10511,Pressure controller PIC10511 (FCS0101),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,PIC,medium,FCS0101.PIC10511.PV,FCS0101.PIC10511.SV,FCS0101.PIC10511.MV,FCS0101.PIC10511.MODE,,0,100,true,
PIC10512,Pressure controller PIC10512 (FCS0101),hdpe,section_200,u2005_refrigeration_unit_hexane_supply,PIC,medium,FCS0101.PIC10512.PV,FCS0101.PIC10512.SV,FCS0101.PIC10512.MV,FCS0101.PIC10512.MODE,,0,100,true,
PIC10513,Pressure controller PIC10513 (FCS0101),hdpe,section_500,u5003_pellet_water_transport_system_drying,PIC,medium,FCS0101.PIC10513.PV,FCS0101.PIC10513.SV,FCS0101.PIC10513.MV,FCS0101.PIC10513.MODE,,0,100,true,
PIC10603,Pressure controller PIC10603 (FCS0101),hdpe,section_100,u1005_catalyst_dosage,PIC,medium,FCS0101.PIC10603.PV,FCS0101.PIC10603.SV,FCS0101.PIC10603.MV,FCS0101.PIC10603.MODE,,0,100,true,
PIC10703,Pressure controller PIC10703 (FCS0101),hdpe,section_300,u3002_hexane_purification_ii_adsorbtion,PIC,medium,FCS0101.PIC10703.PV,FCS0101.PIC10703.SV,FCS0101.PIC10703.MV,FCS0101.PIC10703.MODE,,0,100,true,
PIC10704,Pressure controller PIC10704 (FCS0101),hdpe,section_500,u5003_pellet_water_transport_system_drying,PIC,medium,FCS0101.PIC10704.PV,FCS0101.PIC10704.SV,FCS0101.PIC10704.MV,FCS0101.PIC10704.MODE,,0,100,true,
PIC80103,Pressure controller PIC80103 (FCS0101),hdpe,section_300,u3004_wax_pretreatment,PIC,medium,FCS0101.PIC80103.PV,FCS0101.PIC80103.SV,FCS0101.PIC80103.MV,FCS0101.PIC80103.MODE,,0,100,true,
PIC80105,Pressure controller PIC80105 (FCS0101),hdpe,section_100,u1006_catalyst_storage,PIC,medium,FCS0101.PIC80105.PV,FCS0101.PIC80105.SV,FCS0101.PIC80105.MV,FCS0101.PIC80105.MODE,,0,100,true,
PIC80140,Pressure controller PIC80140 (FCS0101),hdpe,section_100,u1007_catalyst_preparation,PIC,medium,FCS0101.PIC80140.PV,FCS0101.PIC80140.SV,FCS0101.PIC80140.MV,FCS0101.PIC80140.MODE,,0,100,true,
PIC80141,Pressure controller PIC80141 (FCS0101),hdpe,section_300,u3003_wax_recovery_thinfilm_evaporator,PIC,medium,FCS0101.PIC80141.PV,FCS0101.PIC80141.SV,FCS0101.PIC80141.MV,FCS0101.PIC80141.MODE,,0,100,true,
PIC80142,Pressure controller PIC80142 (FCS0101),hdpe,section_500,u5002_hdpe_extruder_feed,PIC,medium,FCS0101.PIC80142.PV,FCS0101.PIC80142.SV,FCS0101.PIC80142.MV,FCS0101.PIC80142.MODE,,0,100,true,
PIC80142B,Pressure controller PIC80142B (FCS0101),hdpe,section_200,u2003_powder_drying_ii_scrubber,PIC,medium,FCS0101.PIC80142B.PV,FCS0101.PIC80142B.SV,FCS0101.PIC80142B.MV,FCS0101.PIC80142B.MODE,,0,100,true,
PIC80143,Pressure controller PIC80143 (FCS0101),hdpe,section_100,u1001_polymerization_reactor_1,PIC,medium,FCS0101.PIC80143.PV,FCS0101.PIC80143.SV,FCS0101.PIC80143.MV,FCS0101.PIC80143.MODE,,0,100,true,
PIC80150,Pressure controller PIC80150 (FCS0101),hdpe,section_300,u3002_hexane_purification_ii_adsorbtion,PIC,medium,FCS0101.PIC80150.PV,FCS0101.PIC80150.SV,FCS0101.PIC80150.MV,FCS0101.PIC80150.MODE,,0,100,true,
TIC10101,Temperature controller TIC10101 (FCS0101),hdpe,section_100,u1004_suspension_receiver_off_gas_system,TIC,medium,FCS0101.TIC10101.PV,FCS0101.TIC10101.SV,FCS0101.TIC10101.MV,FCS0101.TIC10101.MODE,,0,100,true,
TIC10102,Temperature controller TIC10102 (FCS0101),hdpe,section_200,u2005_refrigeration_unit_hexane_supply,TIC,medium,FCS0101.TIC10102.PV,FCS0101.TIC10102.SV,FCS0101.TIC10102.MV,FCS0101.TIC10102.MODE,,0,100,true,
TIC10403,Temperature controller TIC10403 (FCS0101),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,TIC,medium,FCS0101.TIC10403.PV,FCS0101.TIC10403.SV,FCS0101.TIC10403.MV,FCS0101.TIC10403.MODE,,0,100,true,
TIC10503,Temperature controller TIC10503 (FCS0101),hdpe,section_200,u2005_refrigeration_unit_hexane_supply,TIC,medium,FCS0101.TIC10503.PV,FCS0101.TIC10503.SV,FCS0101.TIC10503.MV,FCS0101.TIC10503.MODE,,0,100,true,
TIC10603,Temperature controller TIC10603 (FCS0101),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,TIC,medium,FCS0101.TIC10603.PV,FCS0101.TIC10603.SV,FCS0101.TIC10603.MV,FCS0101.TIC10603.MODE,,0,100,true,
TIC10608,Temperature controller TIC10608 (FCS0101),hdpe,section_300,u3006_waste_water_pretreatment,TIC,medium,FCS0101.TIC10608.PV,FCS0101.TIC10608.SV,FCS0101.TIC10608.MV,FCS0101.TIC10608.MODE,,0,100,true,
TIC10704,Temperature controller TIC10704 (FCS0101),hdpe,section_600,u6002_pellet_homogenization_ii_silo_4_5,TIC,medium,FCS0101.TIC10704.PV,FCS0101.TIC10704.SV,FCS0101.TIC10704.MV,FCS0101.TIC10704.MODE,,0,100,true,
TIC80104,Temperature controller TIC80104 (FCS0101),hdpe,section_100,u1004_suspension_receiver_off_gas_system,TIC,medium,FCS0101.TIC80104.PV,FCS0101.TIC80104.SV,FCS0101.TIC80104.MV,FCS0101.TIC80104.MODE,,0,100,true,
TIC80105,Temperature controller TIC80105 (FCS0101),hdpe,section_800,u8002_utility_supply,TIC,medium,FCS0101.TIC80105.PV,FCS0101.TIC80105.SV,FCS0101.TIC80105.MV,FCS0101.TIC80105.MODE,,0,100,true,
TIC80150,Temperature controller TIC80150 (FCS0101),hdpe,section_100,u1004_suspension_receiver_off_gas_system,TIC,medium,FCS0101.TIC80150.PV,FCS0101.TIC80150.SV,FCS0101.TIC80150.MV,FCS0101.TIC80150.MODE,,0,100,true,
FIC00701,Flow controller FIC00701 (FCS0102),hdpe,section_200,u2002_powder_drying_i,FIC,medium,FCS0102.FIC00701.PV,FCS0102.FIC00701.SV,FCS0102.FIC00701.MV,FCS0102.FIC00701.MODE,,0,100,true,
FIC20209,Flow controller FIC20209 (FCS0102),hdpe,section_100,u1005_catalyst_dosage,FIC,medium,FCS0102.FIC20209.PV,FCS0102.FIC20209.SV,FCS0102.FIC20209.MV,FCS0102.FIC20209.MODE,,0,100,true,
FIC20301,Flow controller FIC20301 (FCS0102),hdpe,section_300,u3001_hexane_purification_i_distillation,FIC,medium,FCS0102.FIC20301.PV,FCS0102.FIC20301.SV,FCS0102.FIC20301.MV,FCS0102.FIC20301.MODE,,0,100,true,
FIC20404,Flow controller FIC20404 (FCS0102),hdpe,section_300,u3006_waste_water_pretreatment,FIC,medium,FCS0102.FIC20404.PV,FCS0102.FIC20404.SV,FCS0102.FIC20404.MV,FCS0102.FIC20404.MODE,,0,100,true,
FIC30102,Flow controller FIC30102 (FCS0102),hdpe,section_400,u4002_catalyst_tankfarm,FIC,medium,FCS0102.FIC30102.PV,FCS0102.FIC30102.SV,FCS0102.FIC30102.MV,FCS0102.FIC30102.MODE,,0,100,true,
FIC30201,Flow controller FIC30201 (FCS0102),hdpe,section_600,u6001_pellet_homogenization_i_silo_1_2_3,FIC,medium,FCS0102.FIC30201.PV,FCS0102.FIC30201.SV,FCS0102.FIC30201.MV,FCS0102.FIC30201.MODE,,0,100,true,
FIC30202,Flow controller FIC30202 (FCS0102),hdpe,section_300,u3001_hexane_purification_i_distillation,FIC,medium,FCS0102.FIC30202.PV,FCS0102.FIC30202.SV,FCS0102.FIC30202.MV,FCS0102.FIC30202.MODE,,0,100,true,
FIC30203,Flow controller FIC30203 (FCS0102),hdpe,section_300,u3004_wax_pretreatment,FIC,medium,FCS0102.FIC30203.PV,FCS0102.FIC30203.SV,FCS0102.FIC30203.MV,FCS0102.FIC30203.MODE,,0,100,true,
FIC30303,Flow controller FIC30303 (FCS0102),hdpe,section_100,u1004_suspension_receiver_off_gas_system,FIC,medium,FCS0102.FIC30303.PV,FCS0102.FIC30303.SV,FCS0102.FIC30303.MV,FCS0102.FIC30303.MODE,,0,100,true,
FIC30501,Flow controller FIC30501 (FCS0102),hdpe,section_800,u8002_utility_supply,FIC,medium,FCS0102.FIC30501.PV,FCS0102.FIC30501.SV,FCS0102.FIC30501.MV,FCS0102.FIC30501.MODE,,0,100,true,
FIC30502,Flow controller FIC30502 (FCS0102),hdpe,section_100,u1001_polymerization_reactor_1,FIC,medium,FCS0102.FIC30502.PV,FCS0102.FIC30502.SV,FCS0102.FIC30502.MV,FCS0102.FIC30502.MODE,,0,100,true,
FIC30603,Flow controller FIC30603 (FCS0102),hdpe,section_300,u3002_hexane_purification_ii_adsorbtion,FIC,medium,FCS0102.FIC30603.PV,FCS0102.FIC30603.SV,FCS0102.FIC30603.MV,FCS0102.FIC30603.MODE,,0,100,true,
LIC20202,Level controller LIC20202 (FCS0102),hdpe,section_300,u3004_wax_pretreatment,LIC,medium,FCS0102.LIC20202.PV,FCS0102.LIC20202.SV,FCS0102.LIC20202.MV,FCS0102.LIC20202.MODE,,0,100,true,
LIC20401,Level controller LIC20401 (FCS0102),hdpe,section_300,u3004_wax_pretreatment,LIC,medium,FCS0102.LIC20401.PV,FCS0102.LIC20401.SV,FCS0102.LIC20401.MV,FCS0102.LIC20401.MODE,,0,100,true,
LIC20402,Level controller LIC20402 (FCS0102),hdpe,section_300,u3001_hexane_purification_i_distillation,LIC,medium,FCS0102.LIC20402.PV,FCS0102.LIC20402.SV,FCS0102.LIC20402.MV,FCS0102.LIC20402.MODE,,0,100,true,
LIC20541,Level controller LIC20541 (FCS0102),hdpe,section_100,u1001_polymerization_reactor_1,LIC,medium,FCS0102.LIC20541.PV,FCS0102.LIC20541.SV,FCS0102.LIC20541.MV,FCS0102.LIC20541.MODE,,0,100,true,
LIC20601,Level controller LIC20601 (FCS0102),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,LIC,medium,FCS0102.LIC20601.PV,FCS0102.LIC20601.SV,FCS0102.LIC20601.MV,FCS0102.LIC20601.MODE,,0,100,true,
LIC20602,Level controller LIC20602 (FCS0102),hdpe,section_600,u6001_pellet_homogenization_i_silo_1_2_3,LIC,medium,FCS0102.LIC20602.PV,FCS0102.LIC20602.SV,FCS0102.LIC20602.MV,FCS0102.LIC20602.MODE,,0,100,true,
LIC30101,Level controller LIC30101 (FCS0102),hdpe,section_500,u5003_pellet_water_transport_system_drying,LIC,medium,FCS0102.LIC30101.PV,FCS0102.LIC30101.SV,FCS0102.LIC30101.MV,FCS0102.LIC30101.MODE,,0,100,true,
LIC30102,Level controller LIC30102 (FCS0102),hdpe,section_300,u3003_wax_recovery_thinfilm_evaporator,LIC,medium,FCS0102.LIC30102.PV,FCS0102.LIC30102.SV,FCS0102.LIC30102.MV,FCS0102.LIC30102.MODE,,0,100,true,
LIC30103,Level controller LIC30103 (FCS0102),hdpe,section_300,u3006_waste_water_pretreatment,LIC,medium,FCS0102.LIC30103.PV,FCS0102.LIC30103.SV,FCS0102.LIC30103.MV,FCS0102.LIC30103.MODE,,0,100,true,
LIC30104,Level controller LIC30104 (FCS0102),hdpe,section_300,u3004_wax_pretreatment,LIC,medium,FCS0102.LIC30104.PV,FCS0102.LIC30104.SV,FCS0102.LIC30104.MV,FCS0102.LIC30104.MODE,,0,100,true,
LIC30206,Level controller LIC30206 (FCS0102),hdpe,section_500,u5002_hdpe_extruder_feed,LIC,medium,FCS0102.LIC30206.PV,FCS0102.LIC30206.SV,FCS0102.LIC30206.MV,FCS0102.LIC30206.MODE,,0,100,true,
LIC30302,Level controller LIC30302 (FCS0102),hdpe,section_200,u2003_powder_drying_ii_scrubber,LIC,medium,FCS0102.LIC30302.PV,FCS0102.LIC30302.SV,FCS0102.LIC30302.MV,FCS0102.LIC30302.MODE,,0,100,true,
LIC30307,Level controller LIC30307 (FCS0102),hdpe,section_100,u1005_catalyst_dosage,LIC,medium,FCS0102.LIC30307.PV,FCS0102.LIC30307.SV,FCS0102.LIC30307.MV,FCS0102.LIC30307.MODE,,0,100,true,
LIC30310,Level controller LIC30310 (FCS0102),hdpe,section_800,u8002_utility_supply,LIC,medium,FCS0102.LIC30310.PV,FCS0102.LIC30310.SV,FCS0102.LIC30310.MV,FCS0102.LIC30310.MODE,,0,100,true,
LIC30501,Level controller LIC30501 (FCS0102),hdpe,section_300,u3002_hexane_purification_ii_adsorbtion,LIC,medium,FCS0102.LIC30501.PV,FCS0102.LIC30501.SV,FCS0102.LIC30501.MV,FCS0102.LIC30501.MODE,,0,100,true,
LIC30601,Level controller LIC30601 (FCS0102),hdpe,section_100,u1007_catalyst_preparation,LIC,medium,FCS0102.LIC30601.PV,FCS0102.LIC30601.SV,FCS0102.LIC30601.MV,FCS0102.LIC30601.MODE,,0,100,true,
LIC30608,Level controller LIC30608 (FCS0102),hdpe,section_300,u3005_butene_recovery,LIC,medium,FCS0102.LIC30608.PV,FCS0102.LIC30608.SV,FCS0102.LIC30608.MV,FCS0102.LIC30608.MODE,,0,100,true,
PIC20120,Pressure controller PIC20120 (FCS0102),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,PIC,medium,FCS0102.PIC20120.PV,FCS0102.PIC20120.SV,FCS0102.PIC20120.MV,FCS0102.PIC20120.MODE,,0,100,true,
PIC20203,Pressure controller PIC20203 (FCS0102),hdpe,section_600,u6002_pellet_homogenization_ii_silo_4_5,PIC,medium,FCS0102.PIC20203.PV,FCS0102.PIC20203.SV,FCS0102.PIC20203.MV,FCS0102.PIC20203.MODE,,0,100,true,
PIC20204,Pressure controller PIC20204 (FCS0102),hdpe,section_200,u2002_powder_drying_i,PIC,medium,FCS0102.PIC20204.PV,FCS0102.PIC20204.SV,FCS0102.PIC20204.MV,FCS0102.PIC20204.MODE,,0,100,true,
PIC20317,Pressure controller PIC20317 (FCS0102),hdpe,section_500,u5003_pellet_water_transport_system_drying,PIC,medium,FCS0102.PIC20317.PV,FCS0102.PIC20317.SV,FCS0102.PIC20317.MV,FCS0102.PIC20317.MODE,,0,100,true,
PIC20406,Pressure controller PIC20406 (FCS0102),hdpe,section_400,u4003_hexane_tankfarm_fire_fighting_water_spray_fixed_system,PIC,medium,FCS0102.PIC20406.PV,FCS0102.PIC20406.SV,FCS0102.PIC20406.MV,FCS0102.PIC20406.MODE,,0,100,true,
PIC20501,Pressure controller PIC20501 (FCS0102),hdpe,section_100,u1006_catalyst_storage,PIC,medium,FCS0102.PIC20501.PV,FCS0102.PIC20501.SV,FCS0102.PIC20501.MV,FCS0102.PIC20501.MODE,,0,100,true,
PIC20603,Pressure controller PIC20603 (FCS0102),hdpe,section_200,u2002_powder_drying_i,PIC,medium,FCS0102.PIC20603.PV,FCS0102.PIC20603.SV,FCS0102.PIC20603.MV,FCS0102.PIC20603.MODE,,0,100,true,
